@STATION_ID,LATITUDE,LONGITUDE,ALTITUDE,TIME(GMT),DATE(GMT),TIME(IST),DATE(IST),AIR_TEMP,WIND_SPEED,WIND_DIRECTION,ATMO_PRESSURE,HUMIDITY,RAIN_FALL,SUN_SHINE

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,0,01-06-2013,5:30,01-06-2013,15.9,0.1,359.2,972.3,62.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,1,01-06-2013,6:30,01-06-2013,16.1,0.2,8.8,972.7,61.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,2,01-06-2013,7:30,01-06-2013,16.5,0.8,359.2,972.7,59.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,3,01-06-2013,8:30,01-06-2013,20.7,0.8,3.9,972.6,46.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,4,01-06-2013,9:30,01-06-2013,23.7,1.6,2.0,972.4,41.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,5,01-06-2013,10:30,01-06-2013,25.9,0.7,3.9,971.9,40.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,6,01-06-2013,11:30,01-06-2013,27.8,0.9,0.0,971.3,37.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,7,01-06-2013,12:30,01-06-2013,28.3,1.5,1.0,970.8,38.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,8,01-06-2013,13:30,01-06-2013,29.1,1.8,5.9,970.2,37.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,9,01-06-2013,14:30,01-06-2013,29.1,1.6,2.9,969.7,37.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,10,01-06-2013,15:30,01-06-2013,29.1,1.3,0.0,969.4,38.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,11,01-06-2013,16:30,01-06-2013,26.1,1.5,359.2,969.7,48.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,12,01-06-2013,17:30,01-06-2013,24.7,0.8,359.2,970.3,54.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,13,01-06-2013,18:30,01-06-2013,23.8,1.1,0.0,970.8,57.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,14,01-06-2013,19:30,01-06-2013,22.4,0.5,359.2,971.2,62.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,15,01-06-2013,20:30,01-06-2013,21.8,0.2,3.9,971.7,64.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,16,01-06-2013,21:30,01-06-2013,21.6,0.5,359.2,972.1,66.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,17,01-06-2013,22:30,01-06-2013,21.3,0.0,359.2,972.4,66.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,18,01-06-2013,23:30,01-06-2013,20.6,0.0,359.2,972.2,69.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,19,01-06-2013,0:30,02-06-2013,20.4,0.0,359.2,971.9,71.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,20,01-06-2013,1:30,02-06-2013,20.3,0.3,2.0,971.8,71.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,21,01-06-2013,2:30,02-06-2013,20.1,0.0,359.2,971.6,71.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,22,01-06-2013,3:30,02-06-2013,19.8,0.0,359.2,971.8,79.0,92.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,23,01-06-2013,4:30,02-06-2013,18.8,0.0,359.2,972.0,89.0,93.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,0,02-06-2013,5:30,02-06-2013,18.6,0.0,359.2,972.4,90.0,98.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,1,02-06-2013,6:30,02-06-2013,17.6,0.3,359.2,973.2,93.0,100.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,2,02-06-2013,7:30,02-06-2013,18.1,0.0,359.2,973.5,94.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,3,02-06-2013,8:30,02-06-2013,18.7,0.1,29.8,973.8,91.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,5,02-06-2013,10:30,02-06-2013,19.9,0.6,8.8,973.7,85.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,6,02-06-2013,11:30,02-06-2013,22.9,0.8,4.9,973.3,72.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,7,02-06-2013,12:30,02-06-2013,22.1,0.8,7.8,973.0,70.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,8,02-06-2013,13:30,02-06-2013,21.1,0.8,16.1,972.9,73.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,9,02-06-2013,14:30,02-06-2013,20.1,0.8,7.8,972.7,78.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,10,02-06-2013,15:30,02-06-2013,20.2,0.9,2.0,972.4,76.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,11,02-06-2013,16:30,02-06-2013,20.8,0.9,2.9,972.0,75.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,12,02-06-2013,17:30,02-06-2013,20.4,0.9,2.9,972.0,76.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,13,02-06-2013,18:30,02-06-2013,20.0,0.2,6.8,972.2,76.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,14,02-06-2013,19:30,02-06-2013,19.2,0.0,359.2,972.5,80.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,15,02-06-2013,20:30,02-06-2013,18.9,0.1,4.9,972.7,80.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,16,02-06-2013,21:30,02-06-2013,18.3,0.7,1.0,972.9,81.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,17,02-06-2013,22:30,02-06-2013,18.0,0.0,359.2,972.9,81.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,18,02-06-2013,23:30,02-06-2013,17.8,0.0,359.2,972.7,80.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,19,02-06-2013,0:30,03-06-2013,17.9,0.3,359.2,972.6,81.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,20,02-06-2013,1:30,03-06-2013,17.8,0.1,11.2,972.7,83.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,21,02-06-2013,2:30,03-06-2013,17.7,0.4,359.2,972.2,85.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,22,02-06-2013,3:30,03-06-2013,17.4,0.5,359.2,971.7,84.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,23,02-06-2013,4:30,03-06-2013,17.4,0.3,2.0,972.1,85.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,0,03-06-2013,5:30,03-06-2013,17.1,0.0,359.2,972.8,87.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,1,03-06-2013,6:30,03-06-2013,17.3,0.0,359.2,973.2,87.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,2,03-06-2013,7:30,03-06-2013,18.5,0.0,359.2,973.7,80.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,3,03-06-2013,8:30,03-06-2013,19.5,0.0,359.2,973.6,75.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,4,03-06-2013,9:30,03-06-2013,22.4,1.2,5.9,973.3,71.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,5,03-06-2013,10:30,03-06-2013,24.3,0.7,4.9,972.7,59.0,102.0,0:0

ISRO137_15F089(Pandukeswar. BRO),30.65,79.55,1970,6,03-06-2013,11:30,03-06-2013,24.7,0.6,6.8,972.5,53.0,102.0,0:0

